comparison,n,base_mean,other_mean,mean_delta,ci95_low,ci95_high,p_two_sided,win_rate,tie_rate
sft_vs_grpo_only,3481,0.6809227581573978,0.6962460488312305,0.015323290673832413,0.010529030112535408,0.0198968405288998,0.0,0.5058891123240448,0.1315713875323183
sft_vs_mrpd_metric,3481,0.6809227581573978,0.6989948729361259,0.018072114778728946,0.013442021953265352,0.022510189938159827,0.0,0.49037632864119507,0.12525136455041655
grpo_only_vs_mrpd_metric,3481,0.6962460488312305,0.6989948729361259,0.00274882410489657,-0.0007569820242689172,0.006371856841257301,0.1344,0.4108014938236139,0.13128411376041368
grpo_only_vs_mrpd_ema098,3481,0.6962460488312305,0.7000214658769829,0.0037754170457520004,-0.0001497826280761161,0.0076260461695709545,0.058,0.41683424303361105,0.14794599253088192
mrpd_metric_vs_mrpd_ema098,3481,0.6989948729361259,0.7000214658769829,0.001026592940855437,-0.00205314114722424,0.004096726305689781,0.5012,0.39040505601838554,0.2585463947141626
mrpd_no_refresh_vs_mrpd_ema098,3481,0.6980530610292208,0.7000214658769829,0.0019684048477613234,-0.0011866862370677799,0.005076207751947495,0.236,0.3576558460212583,0.30249928181557023
mrpd_step80_vs_mrpd_ema098,3481,0.6987257230163533,0.7000214658769829,0.0012957428606292067,-0.0019844412014051157,0.004481874737345069,0.4344,0.3748922723355358,0.2806664751508187
