group,n,sft_mIoU,sft_IoU@0.5,grpo_only_mIoU,grpo_only_IoU@0.5,mrpd_metric_mIoU,mrpd_metric_IoU@0.5,mrpd_ema098_mIoU,mrpd_ema098_IoU@0.5,grpo_only_minus_sft,mrpd_metric_minus_sft,mrpd_ema098_minus_sft,sft_minus_grpo,mrpd_metric_minus_grpo,mrpd_ema098_minus_grpo
center,2848,0.6910774041586053,0.7847612359550562,0.7076411427133955,0.807935393258427,0.709996623195458,0.8054775280898876,0.710936305707002,0.8068820224719101,0.01656373855479021,0.018919219036852675,0.019858901548396646,-0.01656373855479021,0.0023554804820624664,0.0032951629936064375
edge,633,0.6352348721993577,0.7045813586097947,0.6449771272255345,0.721958925750395,0.6494956869352178,0.7266982622432859,0.6509133081583421,0.7282780410742496,0.00974225502617676,0.01426081473586005,0.015678435958984438,-0.00974225502617676,0.00451855970968329,0.0059361809328076776
