group,n,sft_mIoU,sft_IoU@0.5,grpo_only_mIoU,grpo_only_IoU@0.5,mrpd_metric_mIoU,mrpd_metric_IoU@0.5,mrpd_ema098_mIoU,mrpd_ema098_IoU@0.5,grpo_only_minus_sft,mrpd_metric_minus_sft,mrpd_ema098_minus_sft,sft_minus_grpo,mrpd_metric_minus_grpo,mrpd_ema098_minus_grpo
large(>=8%),1075,0.8413242121748458,0.9255813953488372,0.8539910559806672,0.9423255813953488,0.8597109098103833,0.9488372093023256,0.8569511639268428,0.9413953488372093,0.012666843805821393,0.018386697635537574,0.01562695175199702,-0.012666843805821393,0.005719853829716182,0.0029601079461756274
tiny(<0.5%),980,0.43623542944889826,0.5326530612244897,0.4568623917132201,0.5642857142857143,0.45575121352163345,0.5459183673469388,0.4617925435924837,0.5581632653061225,0.020626962264321813,0.019515784072735187,0.025557114143585413,-0.020626962264321813,-0.001111178191586626,0.0049301518792636
medium(2-8%),845,0.7855902072323248,0.8650887573964497,0.7973044748186316,0.8816568047337278,0.7978252859168183,0.8863905325443787,0.8010039295519344,0.8911242603550296,0.011714267586306892,0.012235078684493583,0.01541372231960969,-0.011714267586306892,0.0005208110981866909,0.0036994547333027983
small(0.5-2%),581,0.6446370862077553,0.7452667814113597,0.6611784607600567,0.7693631669535284,0.6681813576481606,0.774526678141136,0.6646251433810672,0.7693631669535284,0.016541374552301424,0.023544271440405273,0.01998805717331187,-0.016541374552301424,0.007002896888103849,0.003446682621010444
