step,good,failed,ambiguous
1,0.4338084670536019,0.4028251963127347,0.16336633663366334
2,0.43016869542877806,0.40969994490060135,0.1601313596706205
3,0.4266009984895943,0.40406232222930233,0.16933667928110327
4,0.42310394901455284,0.40348683070000924,0.17340922028543787
5,0.4221513955687201,0.4053979825673358,0.17245062186394405
6,0.4236929520921118,0.40479604231847766,0.17151100558941051
7,0.42767923026850563,0.4042060216785078,0.16811474805298654
8,0.4291113247186342,0.40115243709081455,0.16973623819055117
9,0.42803981333806723,0.4006345670494123,0.17132561961252046
10,0.4294647675293926,0.40012695186031505,0.17040828061029234
11,0.4209605147070284,0.41200562608090285,0.16703385921206873
12,0.425000900554414,0.4112728414060335,0.1637262580395525
13,0.42153553618699985,0.41798030989304275,0.1604841539199574
14,0.4131882978466632,0.41712921464763597,0.16968248750570084
15,0.4050063513546501,0.42867121039718775,0.1663224382481622
16,0.4044121661793105,0.4325589092012038,0.16302892461948573
17,0.40878024209655184,0.4289438812962295,0.16227587660721868
18,0.41058657393622405,0.42787568562699724,0.1615377404367787
19,0.41235713682857605,0.42187814729774975,0.1657647158736742
20,0.40419164897058446,0.43332610477700223,0.1624822462524133
21,0.396187853941464,0.43712162745468536,0.16669051860385067
22,0.3932930449525241,0.44331723879221635,0.16338971625525958
23,0.3929308064386127,0.43948917465771703,0.16758001890367027
24,0.3925757409645808,0.4431626563476632,0.164261602687756
25,0.3971782015395396,0.4418129007764224,0.16100889768403806
26,0.3967390292318259,0.4429651205630279,0.16029585020514622
27,0.3987838009302056,0.4391440290667303,0.16207217000306412
28,0.40821382467416195,0.43292335522382475,0.15886282010201333
29,0.41250662022516865,0.4317763580906797,0.1557170216841517
30,0.41423916239892766,0.4281768262472999,0.15758401135377245
31,0.4134621492821172,0.4295990673117098,0.156938783406173
32,0.40527477998940203,0.43594364023623045,0.1587815797743676
33,0.4046752793955525,0.43721208300382985,0.15811263760061775
34,0.409038145150096,0.433504913043358,0.15745694180654612
35,0.41578986504811394,0.42987115238903406,0.15433898256285214
36,0.41993263999765623,0.4263093473912314,0.1537580126111125
37,0.42151813227493035,0.42281807318546444,0.15566379453960533
38,0.4255474761902783,0.41939593312238593,0.1550565906873359
39,0.42949703111720344,0.4185168057338238,0.1519861631489728
40,0.42346738693666475,0.4275560769074115,0.14897653615592385
41,0.4249828842250476,0.42404011498845284,0.15097700078649962
42,0.42646837166613577,0.42554427112729537,0.14798735720656891
43,0.4303996910390836,0.42454339447130934,0.14505691448960714
44,0.4317779149789037,0.4210870896302933,0.14713499539080305
45,0.4331288473555591,0.4152239789445449,0.15164717369989605
46,0.4394035236455481,0.411952216985247,0.14864425936920503
47,0.4406034538703887,0.41122048991623217,0.14817605621337918
48,0.446730118150183,0.4080280049673959,0.14524187688242118
49,0.4477849672957239,0.4098492325918039,0.14236580011247224
50,0.45129417586412546,0.40668390125335235,0.1420219228825223
51,0.45225864762919227,0.403581249743385,0.14416010262742285
52,0.45567926846821816,0.4005400368771794,0.14378069465460258
53,0.44665591661736237,0.41241053119644316,0.1409335521861946
54,0.4452369875754344,0.41166972859849377,0.14309328382607195
55,0.44879665118780204,0.40846834783416713,0.1427350009780309
56,0.4399095887880436,0.40533036074834206,0.15476005046361446
57,0.4435747454457061,0.4022545120206521,0.1541707425336419
58,0.442216829694306,0.39923957118855996,0.15854359911713414
59,0.4384105558389732,0.4012348272046281,0.16035461695639883
60,0.43220440621839945,0.3982400781510711,0.16955551563052956
61,0.4236459031249658,0.4027303736332281,0.17362372324180622
62,0.4276331129640754,0.39970600979890675,0.17266087723701798
63,0.4315413681529056,0.3967415343573442,0.1717170974897503
64,0.43042173710037285,0.39383576139977305,0.17574250149985426
65,0.4367500195340288,0.3909875285007676,0.17226245196520368
66,0.4380024943947411,0.3931461913027326,0.16885131430252637
67,0.43923016777306306,0.3952621083066389,0.1655077239202981
68,0.44043353078745784,0.39486087843918066,0.16470559077336153
69,0.44408831235602303,0.39446759371761275,0.16144409392636427
70,0.43529448438857704,0.4064583344360759,0.15824718117534717
71,0.4390510292521696,0.40336014959575756,0.15758882115207296
72,0.4303569494649979,0.41517480009881186,0.1544682504361903
73,0.42926077224786924,0.4143792595027958,0.15635996824933507
74,0.4281863015102877,0.41359947218590876,0.1582142263038037
75,0.4296083549457275,0.4128351262020294,0.15755651885224323
76,0.4260517538576933,0.41208591578218723,0.1618623303601196
77,0.42751607556348153,0.41135154121224293,0.16113238322427564
78,0.4190504107008383,0.423007946336753,0.15794164296240878
79,0.4181781253404257,0.42700778898354996,0.15481408567602445
80,0.412372617907942,0.4259779317759549,0.16164945031610317
81,0.41410781359293325,0.42496846778039143,0.16092371862667537
82,0.41085815391782565,0.42150374564612625,0.16763810043604815
83,0.4150985865135123,0.41810763187095545,0.16679378161553235
84,0.4167798026221556,0.4147787678735108,0.1684414295043337
85,0.41842772732270694,0.41151582197502545,0.1700564507022677
86,0.4200430198509702,0.4107927363913616,0.16916424375766834
87,0.4191510788638223,0.4125592168588594,0.16828970427731846
88,0.41085105750018225,0.41924121256462454,0.16990772993519335
89,0.41014113556948556,0.41836514894948346,0.1714937154810311
90,0.40944527149880267,0.4175064331287016,0.17304829537249583
91,0.41123843443942043,0.4166647215815986,0.17209684397898106
92,0.41052084167824376,0.4133644300651313,0.176114728256625
93,0.40239171610045676,0.4200304809549307,0.17757780294461262
94,0.4043245534053982,0.4166635407380013,0.17901190585660048
95,0.4086943642290537,0.41583852012932804,0.1754671156416183
96,0.4129776441453101,0.41502983656241066,0.17199251929227932
97,0.40975036406322474,0.41423716653147186,0.1760124694053035
