comparison,n,base_mean,other_mean,mean_delta,ci95_low,ci95_high,p_two_sided,win_rate,tie_rate
sft_vs_grpo_only,3481,0.6809227581573978,0.6962460488312305,0.015323290673832413,0.011667228908997318,0.01969807914810603,0.0,0.5058891123240448,0.1315713875323183
sft_vs_mrpd_metric,3481,0.6809227581573978,0.6989948729361259,0.018072114778728946,0.013634952598067082,0.02251754162819284,0.0,0.49037632864119507,0.12525136455041655
grpo_only_vs_mrpd_metric,3481,0.6962460488312305,0.6989948729361259,0.00274882410489657,-0.0004189117049700542,0.006145350935494453,0.06,0.4108014938236139,0.13128411376041368
grpo_only_vs_mrpd_ema098,3481,0.6962460488312305,0.7000214658769829,0.0037754170457520004,-0.0008984444757569767,0.007223499682299316,0.12,0.41683424303361105,0.14794599253088192
mrpd_metric_vs_mrpd_ema098,3481,0.6989948729361259,0.7000214658769829,0.001026592940855437,-0.0024294565217241664,0.003944918923461213,0.66,0.39040505601838554,0.2585463947141626
mrpd_no_refresh_vs_mrpd_ema098,3481,0.6980530610292208,0.7000214658769829,0.0019684048477613234,-0.001033692965710161,0.004722776874303331,0.32,0.3576558460212583,0.30249928181557023
mrpd_step80_vs_mrpd_ema098,3481,0.6987257230163533,0.7000214658769829,0.0012957428606292067,-0.002577259202349388,0.003930810459200546,0.52,0.3748922723355358,0.2806664751508187
